subject,condition,fix_binarized_high_emo,fix_binarized_low_emo,recall_high_emo,recall_low_emo,recognition_high_emo,recognition_low_emo
sub001,count trash,0,3,0,0,0,0
sub002,count trash,10,10,2,3,8,4
sub003,count trash,3,4,0,2,0,3
sub004,count trash,9,9,2,4,8,8
sub005,count trash,10,10,2,2,8,8
sub006,count trash,9,10,1,2,5,7
sub007,count trash,10,9,3,2,7,5
sub008,count trash,6,2,2,0,4,2
sub009,count trash,9,7,1,4,6,7
sub010,count trash,1,2,0,0,5,2
sub011,count trash,8,7,2,0,1,4
sub012,count trash,10,10,4,6,10,10
sub013,free viewing,8,10,2,1,3,7
sub014,free viewing,9,9,2,1,6,6
sub015,free viewing,9,9,1,3,3,8
sub016,free viewing,10,10,8,1,10,9
sub017,free viewing,10,10,2,5,10,10
sub018,free viewing,10,9,4,3,10,5
sub019,free viewing,10,10,4,4,9,10
sub020,free viewing,10,10,3,2,6,6
sub021,free viewing,10,9,2,3,7,8
sub022,free viewing,10,10,5,1,8,6
sub023,free viewing,9,9,3,2,9,6
sub024,free viewing,9,9,3,2,10,7
sub025,free viewing,9,10,4,4,6,6
sub026,free viewing,10,9,3,4,7,7
sub027,free viewing,9,8,2,2,6,2
sub028,free viewing,9,10,4,2,6,7
sub029,free viewing,1,2,2,2,10,6
sub030,free viewing,8,7,1,2,6,7
sub031,free viewing,10,10,6,2,9,8
sub032,free viewing,10,10,4,1,10,10
sub033,count trash,3,6,1,4,8,5
sub034,count trash,3,4,1,0,1,0
sub035,count trash,4,5,1,2,3,2
sub036,count trash,7,7,3,1,9,3
sub037,count trash,2,1,1,1,4,2
sub038,count trash,2,1,0,1,2,2
sub039,count trash,3,0,2,0,2,0
sub040,count trash,6,6,1,3,7,7